species,func_group,diameter
heliopsis_helianthoides,F,0.2756775
rudbeckia_subtomentosa,F,0.3196272
rudbeckia_triloba,F,0.2698
rudbeckia_fulgida,F,0.4620866
rudbeckia_hirta,F,0.29965
ratibida_pinnata,F,0.33445
helianthus_occidentalis,F,0.323591
helianthus_mollis,F,0.3400737
helianthus_strumosus,F,0.42315
helianthus_pauciflorus,F,0.654005
parthenium_integrifolium,F,0.3717102
echinacea_purpurea,F,0.366699
echinacea_pallida,F,0.2947248
silphium_integrifolium,F,0.3822854
silphium_laciniatum,F,0.5093448
silphium_terebinthinaceum,F,0.5003051
liatris_scariosa,F,0.2473
liatris_pycnostachya,F,0.29635
liatris_aspera,F,0.2689
liatris_spicata,F,0.24975
eupatorium_altissimum,F,0.3742
brickellia_eupatorioides,F,0.3110283
helenium_autumnale,F,0.39035
coreopsis_palmata,F,0.4331336
symphyotrichum_laeve,F,0.31785
symphyotrichum_novae-angliae,F,0.400707
symphyotrichum_sericeum,F,0.30735
symphyotrichum_ericoides,F,0.36335
solidago_nemoralis,F,0.3680149
solidago_speciosa,F,0.4525421
oligoneuron_rigidum,F,0.3417404
solidago_juncea,F,0.4131995
euthamia_graminifolia,F,0.3413
arnoglossum_plantagineum,F,0.5316733
vernonia_fasciculata,F,0.5401
vernonia_missurica,F,0.6285
vernonia_gigantea,F,0.4066
campanula_rotundifolia,F,0.2353
zizia_aptera,F,0.3291503
eryngium_yuccifolium,F,0.527509
pycnanthemum_pilosum,F,0.3002448
pycnanthemum_tenuifolium,F,0.3123214
pycnanthemum_virginianum,F,0.2916412
monarda_fistulosa,F,0.2624383
blephilia_ciliata,F,0.2311052
agastache_scrophulariifolia,F,0.3292616
agastache_nepetoides,F,0.3564664
teucrium_canadense,F,0.2336
physostegia_virginiana,F,0.3750143
verbena_stricta,F,0.2905
penstemon_hirsutus,F,0.3305861
penstemon_digitalis,F,0.3482794
veronicastrum_virginicum,F,0.280128
asclepias_tuberosa,F,0.2866406
asclepias_syriaca,F,0.353297
asclepias_verticillata,F,0.3041174
asclepias_sullivantii,F,0.33995
phlox_pilosa,F,0.3098544
polemonium_reptans,F,0.2939723
desmodium_canadense,N,0.3460674
desmodium_illinoense,N,0.4091778
lespedeza_capitata,N,0.3878561
astragalus_canadensis,N,0.3977868
dalea_purpurea,N,0.39405
dalea_candida,N,0.27325
baptisia_alba,N,0.39745
baptisia_bracteata,N,0.3625453
senna_marilandica,N,0.4551
senna_hebecarpa,N,0.4079
chamaecrista_fasciculata,N,0.2223367
desmanthus_illinoensis,N,0.48945
potentilla_arguta,F,0.3126294
hypericum_pyramidatum,F,0.3877869
hypericum_punctatum,F,0.2243
viola_pedatifida,F,0.2736068
euphorbia_corollata,F,0.76015
heuchera_richardsonii,F,0.3352
anemone_virginiana,F,0.350706
anemone_cylindrica,F,0.3351666
anemone_canadensis,F,0.3049922
thalictrum_dasycarpum,F,0.3992773
andropogon_gerardii,G,0.2345725
schizachyrium_scoparium,G,0.2093499
sorghastrum_nutans,G,0.2500918
panicum_virgatum,G,0.2857943
bouteloua_curtipendula,G,0.1607952
sporobolus_heterolepis,G,0.1951089
eragrostis_spectabilis,G,0.2333374
hierochloe_odorata,G,0.1736
koeleria_macrantha,G,0.20475
elymus_canadensis,G,0.2062
bromus_kalmii,G,0.1921422
carex_brevior,G,0.226903
carex_molesta,G,0.2580936
carex_normalis,G,0.2827964
carex_bicknellii,G,0.2063522
carex_gravida,G,0.1884404
carex_annectens,G,0.2189898
tradescantia_ohiensis,F,0.59035
allium_cernuum,F,0.3888108
allium_canadense,F,0.50505
