species,func_group,SRL
helianthus_occidentalis,F,3816.7806
helianthus_mollis,F,5258.6938
helianthus_strumosus,F,2465.4442
helianthus_pauciflorus,F,942.6378
parthenium_integrifolium,F,879.9965
echinacea_purpurea,F,4249.3878
echinacea_pallida,F,7108.4787
rudbeckia_subtomentosa,F,14021.1758
rudbeckia_triloba,F,10125.3905
rudbeckia_fulgida,F,3813.7106
rudbeckia_hirta,F,8682.0056
silphium_integrifolium,F,2810.6509
silphium_laciniatum,F,622.6233
silphium_terebinthinaceum,F,1111.2301
heliopsis_helianthoides,F,7991.6884
ratibida_pinnata,F,3962.0841
liatris_scariosa,F,8995.2829
liatris_pycnostachya,F,8705.0125
liatris_aspera,F,10613.2361
liatris_spicata,F,11971.2781
eupatorium_altissimum,F,2219.1437
brickellia_eupatorioides,F,1780.1141
helenium_autumnale,F,6434.3229
coreopsis_palmata,F,2364.6851
symphyotrichum_laeve,F,4363.5529
symphyotrichum_novae-angliae,F,4505.4311
symphyotrichum_sericeum,F,5352.3304
symphyotrichum_ericoides,F,4580.7485
solidago_nemoralis,F,3381.0573
solidago_speciosa,F,1192.4651
oligoneuron_rigidum,F,2858.2273
solidago_juncea,F,1956.6337
euthamia_graminifolia,F,3968.0629
arnoglossum_plantagineum,F,1902.1621
vernonia_fasciculata,F,1511.3019
vernonia_missurica,F,973.9789
vernonia_gigantea,F,1869.4037
campanula_rotundifolia,F,7049.5065
zizia_aptera,F,2441.3092
eryngium_yuccifolium,F,1251.772
pycnanthemum_tenuifolium,F,5502.6631
pycnanthemum_virginianum,F,5380.1674
pycnanthemum_pilosum,F,6463.4968
monarda_fistulosa,F,7777.8453
blephilia_ciliata,F,12279.9461
agastache_scrophulariifolia,F,3634.1947
agastache_nepetoides,F,3883.6526
teucrium_canadense,F,15302.6265
physostegia_virginiana,F,9117.9019
verbena_stricta,F,3281.8465
penstemon_hirsutus,F,3891.3226
penstemon_digitalis,F,4169.4028
veronicastrum_virginicum,F,3646.7087
asclepias_tuberosa,F,2763.8978
asclepias_syriaca,F,1345.5309
asclepias_verticillata,F,2935.8418
asclepias_sullivantii,F,1426.3402
phlox_pilosa,F,6294.3593
polemonium_reptans,F,5558.5816
desmodium_canadense,N,664.2058
desmodium_illinoense,N,951.4412
lespedeza_capitata,N,841.0572
astragalus_canadensis,N,2094.0753
dalea_purpurea,N,901.6449
dalea_candida,N,1561.4631
baptisia_alba,N,1080.2942
baptisia_bracteata,N,5578.0528
senna_marilandica,N,13334.0157
senna_hebecarpa,N,757.032
chamaecrista_fasciculata,N,9380.8972
desmanthus_illinoensis,N,366.5383
potentilla_arguta,F,4091.2215
hypericum_pyramidatum,F,2726.0058
hypericum_punctatum,F,10004.6075
viola_pedatifida,F,11149.3848
euphorbia_corollata,F,260.2273
heuchera_richardsonii,F,2088.06
anemone_virginiana,F,5160.3865
anemone_cylindrica,F,4980.0734
anemone_canadensis,F,8549.3935
thalictrum_dasycarpum,F,1999.3747
andropogon_gerardii,G,4400.0318
schizachyrium_scoparium,G,5708.339
sorghastrum_nutans,G,7087.9167
panicum_virgatum,G,2712.0393
bouteloua_curtipendula,G,10669.9878
sporobolus_heterolepis,G,11262.2678
eragrostis_spectabilis,G,11971.3461
hierochloe_odorata,G,18006.0358
koeleria_macrantha,G,8408.5774
elymus_canadensis,G,9591.2073
bromus_kalmii,G,14644.2919
carex_brevior,G,8934.4851
carex_molesta,G,8304.6804
carex_normalis,G,4765.6444
carex_bicknellii,G,10437.6683
carex_gravida,G,10067.487
carex_annectens,G,7802.3007
tradescantia_ohiensis,F,4567.7076
allium_cernuum,F,7806.8314
allium_canadense,F,3876.0904
